case_id,category,severity,ai_root_cause,ai_confidence,human_status,agreement,reviewer_note
C001,VLAN,Medium,wrong_vlan_assignment: Switchport evidence shows the access interface is assigned to the wrong VLAN.,0.99,Accepted,Yes,Confirmed. AI diagnosis matches the deterministic rule finding and evidence.
C002,VLAN,High,trunk_vlan_not_allowed: Trunk evidence shows required VLAN(s) [30] are not in the allowed VLAN list.,0.99,Accepted,Yes,Confirmed. Diagnosis matches the deterministic finding and command evidence.
C003,VLAN,Medium,missing_vlan: The required VLAN is absent from the switch VLAN database.,0.99,Accepted,Yes,Confirmed. Diagnosis matches the deterministic finding and command evidence.
C004,VLAN,High,vtp_revision_problem: VTP evidence shows a newer revision can overwrite the VLAN database.,0.99,Accepted,Yes,Confirmed. Diagnosis matches the deterministic finding and command evidence.
C005,Gateway,Medium,gateway_mismatch: The host's default gateway does not match the local router/subnet.,0.99,Accepted,Yes,Confirmed. Diagnosis matches the deterministic finding and command evidence.
C006,Gateway,High,interface_down: Interface status evidence indicates that the required interface/link is down.,0.99,Accepted,Yes,Confirmed. Diagnosis matches the deterministic finding and command evidence.
C007,Gateway,High,interface_down: Interface status evidence indicates that the required interface/link is down.,0.99,Pending,,Not yet reviewed.
C008,Gateway,Medium,duplicate_ip: ARP/IP evidence shows the same address assigned to multiple devices.,0.99,Pending,,Not yet reviewed.
C009,DHCP,High,missing_dhcp_relay: The VLAN interface lacks the DHCP relay/helper configuration.,0.99,Pending,,Not yet reviewed.
C010,DHCP,Medium,dhcp_pool_exhaustion: DHCP pool utilization indicates the address pool is exhausted or nearly exhausted.,0.99,Pending,,Not yet reviewed.
C011,DHCP,Medium,"dhcp_pool_overlap: Two DHCP pools use the same network, creating an address-space overlap.",0.99,Pending,,Not yet reviewed.
C012,DHCP,Medium,missing_dhcp_dns_option: The DHCP pool does not supply a DNS server option.,0.99,Pending,,Not yet reviewed.
C013,DNS,Low,missing_dns_record: DNS lookup evidence shows the required DNS record is missing or incorrect.,0.99,Pending,,Not yet reviewed.
C014,DNS,High,dns_unreachable: DNS server connectivity evidence shows that the DNS service is unreachable. | interface_down: Interface status evidence indicates that the required interface/link is down.,0.99,Pending,,Not yet reviewed.
C015,DNS,Low,missing_dns_forwarder: The internal DNS server has no forwarder for external domains.,0.99,Pending,,Not yet reviewed.
C016,DNS,Medium,stale_dns_record: DNS evidence indicates that a stale record/cache is being returned.,0.99,Pending,,Not yet reviewed.
C017,Routing,High,missing_route: Routing-table evidence indicates that the required route is absent.,0.99,Pending,,Not yet reviewed.
C018,Routing,High,missing_route: Routing-table evidence indicates that the required route is absent.,0.99,Pending,,Not yet reviewed.
C019,Routing,High,ospf_area_mismatch: OSPF configuration shows different areas on the neighbor link.,0.99,Pending,,Not yet reviewed.
C020,Routing,Medium,missing_route: Routing-table evidence indicates that the required route is absent.,0.99,Pending,,Not yet reviewed.
C021,Routing,High,routing_loop: Routing evidence shows traffic looping between the routers.,0.99,Pending,,Not yet reviewed.
C022,ACL,Medium,acl_block: ACL evidence shows that required traffic is denied or the required isolation deny is absent.,0.99,Pending,,Not yet reviewed.
C023,ACL,High,acl_block: ACL evidence shows that required traffic is denied or the required isolation deny is absent.,0.99,Pending,,Not yet reviewed.
C024,ACL,High,acl_block: ACL evidence shows that required traffic is denied or the required isolation deny is absent.,0.99,Pending,,Not yet reviewed.
C025,ACL,Medium,acl_vty_mismatch: VTY lines reference an ACL different from the configured management ACL.,0.99,Pending,,Not yet reviewed.
C026,NAT,High,missing_route: Routing-table evidence indicates that the required route is absent. | nat_inside_missing: The LAN interface is missing the ip nat inside designation.,0.99,Pending,,Not yet reviewed.
C027,NAT,Medium,static_nat_problem: The required static NAT/port-forward mapping is missing.,0.99,Pending,,Not yet reviewed.
C028,NAT,Medium,nat_acl_problem: The NAT ACL excludes required inside traffic from translation.,0.99,Pending,,Not yet reviewed.
C029,Wireless,High,,,Pending,,Not yet reviewed.
C030,Wireless,High,trunk_vlan_not_allowed: Trunk evidence shows the required VLAN is missing from the allowed VLAN list.,0.99,Pending,,Not yet reviewed.
C031,VLAN,Medium,wrong_vlan_assignment: Switchport evidence shows the access interface is assigned to the wrong VLAN.,0.99,Pending,,Not yet reviewed.
C032,VLAN,High,missing_vlan: The required VLAN is absent from the switch VLAN database.,0.99,Pending,,Not yet reviewed.
C033,VLAN,High,trunk_vlan_not_allowed: Trunk evidence shows the required VLAN is missing from the allowed VLAN list.,0.99,Pending,,Not yet reviewed.
C034,VLAN,High,trunk_mode_mismatch: The inter-switch interface is configured as an access port instead of a trunk.,0.99,Pending,,Not yet reviewed.
C035,VLAN,Medium,native_vlan_mismatch: Trunk endpoints use different native VLANs.,0.99,Pending,,Not yet reviewed.
C036,VLAN,High,missing_vlan: The required VLAN is absent from the switch VLAN database.,0.99,Pending,,Not yet reviewed.
C037,VLAN,High,trunk_vlan_not_allowed: Trunk evidence shows the required VLAN is missing from the allowed VLAN list.,0.99,Pending,,Not yet reviewed.
C038,Routing,High,missing_route: Routing-table evidence indicates that the required route is absent.,0.99,Pending,,Not yet reviewed.
C039,Routing,High,missing_route: Routing-table evidence indicates that the required route is absent.,0.99,Pending,,Not yet reviewed.
C040,Routing,High,interface_down: Interface status evidence indicates that the required interface/link is down.,0.99,Pending,,Not yet reviewed.
C041,Routing,High,missing_route: Routing-table evidence indicates that the required route is absent.,0.99,Pending,,Not yet reviewed.
C042,Routing,High,ospf_area_mismatch: OSPF configuration shows different areas on the neighbor link.,0.99,Pending,,Not yet reviewed.
