case_id,category,symptom,topology_note,show_output,expected_fault,osi_layer,concept_tag,severity
C001,VLAN,PC1 in VLAN 10 cannot ping PC2 in VLAN 10 on the same switch.,"SW1 access ports Fa0/1 (PC1) and Fa0/2 (PC2), both intended for VLAN 10.","SW1# show vlan brief
VLAN Name    Status    Ports
1    default  active    Fa0/3, Fa0/4
10   Sales    active    Fa0/1
20   Guest    active    Fa0/2

SW1# show interfaces Fa0/2 switchport
Name: Fa0/2
Administrative Mode: static access
Access Mode VLAN: 20 (Guest)",Fa0/2 assigned to wrong VLAN (20 instead of 10),Layer 2,vlan-misassignment,Medium
C002,VLAN,All VLAN 30 hosts on SW2 lost connectivity to VLAN 30 hosts on SW1 after a trunk cable was replaced.,"SW1 and SW2 connected via Gi0/1 trunk carrying VLANs 10,20,30.","SW2# show interfaces trunk
Port   Mode   Encapsulation  Status       Native vlan
Gi0/1  on     802.1q         trunking     1

Vlans allowed on trunk
Gi0/1  10,20

Vlans allowed and active in management domain
Gi0/1  10,20",VLAN 30 not permitted in the trunk's allowed-VLAN list,Layer 2,trunk-allowed-vlan,High
C003,VLAN,New PC plugged into Fa0/5 on SW1 never gets a DHCP address; port stays down.,Fa0/5 configured for VLAN 40 which does not exist on SW1 yet.,"SW1# show interfaces Fa0/5 switchport
Access Mode VLAN: 40 (Inactive)

SW1# show vlan brief
VLAN Name    Status  Ports
1  default    active
10 Sales      active  Fa0/1,Fa0/2
20 Guest      active  Fa0/2
! VLAN 40 not listed",VLAN 40 was never created on the switch (missing VLAN),Layer 2,missing-vlan,Medium
C004,VLAN,Two switches lose several VLANs after a new switch was added to the network; users report random VLAN outages.,SW3 added with default VTP settings into an existing VTP domain 'CORP'.,"SW3# show vtp status
VTP Version: 2
Configuration Revision: 25
VTP Operating Mode: Server
VTP Domain Name: CORP
Maximum VLANs supported: 1005
Number of existing VLANs: 5

SW1# show vtp status
Configuration Revision: 8
VTP Operating Mode: Server
Number of existing VLANs: 12",New switch had a higher VTP revision number and overwrote the VLAN database domain-wide,Layer 2,vtp-revision-overwrite,High
C005,Gateway,PC in VLAN 10 can ping other PCs in VLAN 10 but cannot reach any other subnet.,"PC1 10.10.10.5/24, expected gateway 10.10.10.1 (SVI on SW1).","PC1> ipconfig
IP: 10.10.10.5  Mask: 255.255.255.0  Gateway: 10.10.10.100

SW1# show ip interface brief
Vlan10  10.10.10.1  YES manual up up",PC configured with wrong default gateway (10.10.10.100 instead of 10.10.10.1),Layer 3,gateway-misconfig,Medium
C006,Gateway,Entire VLAN 20 lost access to other subnets simultaneously.,SVI Vlan20 on SW1 acts as the default gateway for VLAN 20.,"SW1# show ip interface brief
Vlan20  20.20.20.1  YES manual administratively down down",The VLAN 20 SVI (default gateway interface) is administratively shut down,Layer 3,svi-shutdown,High
C007,Gateway,"PC gets IP via DHCP, can ping its own subnet, but ping to gateway times out.",R1 Fa0/0 is the gateway for 192.168.5.0/24.,"R1# show ip interface brief
FastEthernet0/0  192.168.5.1  YES manual up down

R1# show interfaces Fa0/0
FastEthernet0/0 is up, line protocol is down
Encapsulation ARPA","Line protocol down on gateway interface, likely duplex/speed mismatch or bad cable",Layer 1/2,interface-line-protocol-down,High
C008,Gateway,Two PCs on the same subnet intermittently lose connectivity and show ARP errors.,"192.168.1.0/24 subnet, gateway 192.168.1.1.","PC1> ipconfig
IP: 192.168.1.50

PC3> ipconfig
IP: 192.168.1.50

R1# show arp
Internet 192.168.1.50  0  aabb.cc00.0100  ARPA Fa0/0
Internet 192.168.1.50  0  aabb.cc00.0300  ARPA Fa0/0",Duplicate IP address (192.168.1.50) assigned to two hosts,Layer 3,duplicate-ip,Medium
C009,DHCP,PCs in VLAN 30 get an APIPA address (169.254.x.x) instead of a DHCP lease.,DHCP server pool VLAN30_POOL configured on R1; SW1 has ip helper-address configured.,"R1# show ip dhcp pool
Pool VLAN30_POOL:
 Network: 10.30.30.0 /24
 Lease: 1 day

SW1# show run interface vlan 30
interface Vlan30
 ip address 10.30.30.1 255.255.255.0
! no ip helper-address configured","Missing 'ip helper-address' on the VLAN 30 SVI, so DHCP broadcasts never reach the DHCP server",Layer 3,missing-dhcp-relay,High
C010,DHCP,Only the first 2 PCs on VLAN 40 get IP addresses; the rest fail to lease.,R1 DHCP pool for 172.16.40.0/24.,"R1# show ip dhcp pool
Pool VLAN40_POOL:
 Network: 172.16.40.0 /28
 Leased addresses: 14
 Pool size: 14","DHCP pool subnet mask too small (/28) for the number of hosts, pool exhausted",Layer 3,dhcp-pool-exhausted,Medium
C011,DHCP,PC receives an IP address from the wrong subnet's DHCP pool (VLAN 10 address handed to a VLAN 20 host).,Single DHCP server with two pools; ip helper-address on both SVIs.,"R1# show ip dhcp pool
Pool VLAN10_POOL: Network 10.10.10.0/24
Pool VLAN20_POOL: Network 10.10.10.0/24
! duplicate network statement","VLAN20_POOL was configured with the same network as VLAN10_POOL, causing address overlap",Layer 3,dhcp-pool-overlap,Medium
C012,DHCP,"PC gets correct IP and mask but cannot resolve any hostnames, only raw IPs work.",DHCP pool should hand out dns-server option.,"PC1> ipconfig /all
IP: 192.168.2.50  Mask: 255.255.255.0  Gateway: 192.168.2.1  DNS: 0.0.0.0

R1# show run | section dhcp
ip dhcp pool LAN
 network 192.168.2.0 255.255.255.0
 default-router 192.168.2.1
! no dns-server statement",DHCP pool missing 'dns-server' statement so clients receive no DNS server,Layer 7,missing-dns-option,Medium
C013,DNS,PC can ping the server by IP but 'ping server.corp.local' fails with 'Unknown host'.,Internal DNS server 10.1.1.53 hosts corp.local zone.,"PC1> ipconfig /all
DNS Servers: 10.1.1.53

PC1> nslookup server.corp.local
Server: 10.1.1.53
*** 10.1.1.53 can't find server.corp.local: Non-existent domain",Missing/incorrect A record for server.corp.local on the DNS server,Layer 7,missing-dns-record,Low
